FEATURE_ID|FEATURE_NAME|FEATURE_NAME_OFFICIAL|DATE_CREATED
511|Agua Fria|Y|02/08/1980
512|Agua Fria High School|Y|02/26/2009
512|Agua Fria Union High School||02/08/1980
513|Agua la Vara|Y|06/27/1984
513|Agua Lavara||
514|Aguajita Spring|Y|02/08/1980
515|Aguajita Well|Y|02/08/1980
516|Aguila|Y|02/08/1980
516|Canon Water||
517|Aguila Mountains|Y|02/08/1980
518|Aguila Valley|Y|02/08/1980
518|Grace Valley||
518|McMullen Valley||
519|Aguinaldo Mine|Y|02/08/1980
520|Aguirre Lake|Y|02/08/1980
521|Aguirre Pass|Y|02/08/1980
522|Aguirre Peak|Y|02/08/1980
522|Aguirres Peak||
523|Aguirre Valley|Y|02/08/1980
524|Aguirre Wash|Y|02/08/1980
525|Agway Pond|Y|02/08/1980
526|Agway Valley|Y|02/08/1980
526|Jagway Valley||
526|Jagwey Valley||
527|Agway Wash|Y|02/08/1980
528|Ah Hol Sah|Y|02/08/1980
529|Ah Na Na Betoh|Y|02/08/1980
530|Airline Canal|Y|02/08/1980
531|Airport Tank|Y|02/08/1980
532|Airport Tank|Y|02/08/1980
533|Airport Tank|Y|02/08/1980
534|Airport Tank|Y|02/08/1980
535|Airport Tank|Y|02/08/1980
536|Aja Ranch|Y|02/08/1980
537|Ajax Hill|Y|02/08/1980
538|Ajo|Y|02/08/1980
539|Ajo Peak|Y|02/08/1980
539|Ajo Peaks||
540|Ajo Range|Y|02/08/1980
540|Ajo Mountains||
540|Cerros De Santa Rosa||
540|Nariz Mountains||
540|Santa Rosa Mountains||
540|Sierra De La Naril||
540|Sierra De La Nariz||
540|Sierra De Santa Rosa||
540|Sierra Del Ajo||
541|Mount Ajo|Y|02/08/1980
541|Ajo Peaks||
541|Sierra del Ajo||
542|Ak Chin|Y|02/08/1980
542|Akchin||
542|Aktjin||
543|Akaba Tank|Y|02/08/1980
544|Mount Akaba|Y|02/08/1980
545|Akchin Well|Y|02/08/1980
546|Al Tse Toh|Y|02/08/1980
547|Alabama Mine|Y|02/08/1980
548|Alambre Valley|Y|02/08/1980
549|Alambre Wash|Y|02/08/1980
550|Alambre Well|Y|02/08/1980
551|Alamo Canyon|Y|02/08/1980
552|Alamo Dam|Y|02/08/1980
553|Alamo Lake|Y|02/08/1980
553|Alamo Reservoir||
554|Alamo Spring|Y|02/08/1980
555|Alamo Spring|Y|02/08/1980
556|Alamo Spring|Y|02/08/1980
557|Alamo Spring|Y|02/08/1980
558|Alamo Spring|Y|02/08/1980
559|Alamo Wash|Y|02/08/1980
560|Alamo Wash|Y|02/08/1980
561|Alamo Wash|Y|02/08/1980
562|Alarcon Terrace|Y|02/08/1980
563|Alaska Mine|Y|02/08/1980
564|Ajax Mine|Y|02/08/1980
564|Alax Mine||
565|Albers Tank|Y|02/08/1980
566|Albers Wash|Y|02/08/1980
567|Albert Well|Y|02/08/1980
568|Alberts Tank|Y|02/08/1980
569|Alboyd Spring|Y|02/08/1980
570|Alchesay Flat|Y|02/08/1980
571|Alchesay High School|Y|02/08/1980
572|Alchesay Tank|Y|02/08/1980
573|Alcorn Pond|Y|02/08/1980
574|Alcove Canyon|Y|02/08/1980
574|Alcove Creek||
575|Alcyone Mine|Y|02/08/1980
576|Alder Creek|Y|02/08/1980
577|Alder Spring|Y|02/08/1980
578|Alejandro Tank|Y|02/08/1980
579|Alger School|Y|02/08/1980
580|Alhambra|Y|02/08/1980
581|Ali Chuk|Y|02/08/1980
582|Ali Chuk Valley|Y|02/08/1980
583|Ali Chuk Wash|Y|02/08/1980
584|Ali Chukson|Y|02/08/1980
585|Ali Molina Canyon|Y|02/08/1980
586|Ali Molina Wash|Y|02/08/1980
587|Ali Wua Pass|Y|02/08/1980
587|Gusano Pass||
588|Alice Mine|Y|02/08/1980
589|Alice Pond|Y|02/08/1980
590|Alkali Canyon|Y|02/08/1980
591|Alkali Spring|Y|02/08/1980
592|Alkali Spring|Y|02/08/1980
593|Alkali Tank|Y|02/08/1980
594|Alkali Valley|Y|02/08/1980
595|Alkali Wash|Y|02/08/1980
596|All Saints School|Y|02/08/1980
597|Allan Tank|Y|02/08/1980
598|Allan Well|Y|02/08/1980
599|Allen Flat|Y|02/08/1980
600|Allen Mill Well|Y|02/08/1980
601|Allen Reservoir|Y|02/08/1980
602|Allen Trap|Y|02/08/1980
603|Allens Peak|Y|02/08/1980
604|Allens Peak Tank|Y|02/08/1980
605|Allenville|Y|02/08/1980
606|Alley Way Tank|Y|02/08/1980
607|Allison Mine|Y|02/08/1980
608|Allison Tank|Y|02/08/1980
609|Ally Wash|Y|02/08/1980
610|Franklin at Alma Elementary School|Y|01/17/2016
610|Alma Elementary School||02/26/2009
610|Alma School||02/08/1980
611|Alma Ward Park|Y|02/08/1980
612|Alpha Mine|Y|02/08/1980
613|Alpine Creek|Y|02/08/1980
614|Alsap Butte|Y|02/08/1980
615|Alta Spring|Y|02/08/1980
616|Alta Vista Elementary School|Y|02/26/2009
616|Alta Vista School||02/08/1980
617|Altar Wash|Y|02/08/1980
618|Altata Mine|Y|02/08/1980
619|Alum Creek|Y|02/08/1980
620|Alvarez Mountains|Y|02/08/1980
621|Amado Well|Y|02/08/1980
622|Amanda Gulch|Y|02/08/1980
623|Amazon Gulch|Y|02/08/1980
624|Amazon Spring|Y|02/08/1980
625|Pen Pocket|Y|02/08/1980
625|Ambush Water Pocket||
625|Penns Pocket||
626|Arizona Christian University|Y|07/02/2019
626|American Institute for Foreign Trade||02/08/1980
626|Thunderbird School of Global Management||02/26/2009
627|American Legion Mine|Y|02/08/1980
628|American Mine|Y|02/08/1980
629|American Ranch|Y|02/08/1980
630|Amole Peak|Y|02/08/1980
631|Amos Point|Y|02/08/1980
632|Amos Spring|Y|02/08/1980
633|Amos Spring|Y|02/08/1980
634|Amos Tank|Y|02/08/1980
635|Amos Wash|Y|02/08/1980
636|Amuy Mine|Y|02/08/1980
637|Andalucia Primary School|Y|02/26/2009
637|Andalucia School||02/08/1980
638|Anderson Canyon|Y|02/08/1980
639|Anderson Mine|Y|02/08/1980
640|Anderson Ranch|Y|02/08/1980
641|Anderson Ranch|Y|02/08/1980
642|Anderson Spring|Y|02/08/1980
643|Anderson Spring|Y|02/08/1980
644|Anderson Spring|Y|02/08/1980
645|Anderson Spring|Y|02/08/1980
646|Anderson Tank|Y|02/08/1980
647|Anderson Tank|Y|02/08/1980
648|Anderson Well|Y|02/08/1980
649|Andrus Canyon|Y|02/08/1980
649|Andrus Draw||
649|Donsill Canyon||
650|Andrus Point|Y|02/08/1980
651|Andrus Spring|Y|02/08/1980
652|Anegam|Y|02/08/1980
653|Anegan Wash|Y|02/08/1980
653|Comobabi Wash||
653|Pavo Kug Wash||
