"","State","County1","n.x","n.y"
"205","WI","LACROSSE",1,NA
"206","WI","ST CROIX",52,NA
"207","WY","COSHEN",1,NA
"208","AK","ALEUTIANS EAST",NA,528
"209","AK","ALEUTIANS WEST",NA,1282
"210","AK","ANCHORAGE",NA,310
"211","AK","BETHEL",NA,921
"212","AK","BRISTOL BAY",NA,67
"213","AK","DENALI",NA,109
"214","AK","DILLINGHAM",NA,312
"215","AK","FAIRBANKS NORTH STAR",NA,252
"216","AK","HAINES",NA,159
"217","AK","HOONAH-ANGOON",NA,442
"218","AK","JUNEAU",NA,182
"219","AK","KENAI PENINSULA",NA,631
"220","AK","KETCHIKAN GATEWAY",NA,278
"221","AK","KODIAK ISLAND",NA,854
"222","AK","KUSILVAK",NA,520
"223","AK","LAKE AND PENINSULA",NA,374
"224","AK","MATANUSKA-SUSITNA",NA,313
"225","AK","NOME",NA,1032
"226","AK","NORTH SLOPE",NA,710
"227","AK","NORTHWEST ARCTIC",NA,342
"228","AK","PETERSBURG BOROUGH",NA,178
"229","AK","PRINCE OF WALES-HYDER",NA,864
"230","AK","SITKA",NA,402
"231","AK","SKAGWAY",NA,43
"232","AK","SOUTHEAST FAIRBANKS",NA,238
"233","AK","VALDEZ-CORDOVA",NA,646
"234","AK","WRANGELL",NA,128
"235","AK","YAKUTAT",NA,101
"236","AK","YUKON-KOYUKUK",NA,917
"237","AK",NA,NA,10
"238","AL","CONECUH",NA,382
"239","AL","DEKALB",NA,762
"240","AL","ST. CLAIR",NA,571
"241","AR","ST. FRANCIS",NA,388
"242","AS","EASTERN",NA,310
"243","AS","MANU‘A DISTRICT",NA,136
"244","AS","ROSE ISLAND",NA,2
"245","AS","SWAINS ISLAND",NA,7
"246","AS","WESTERN",NA,205
"247","AS",NA,NA,3
"248","AZ",NA,NA,1
"249","CO","BROOMFIELD",NA,99
"250","DC","DISTRICT OF COLUMBIA",NA,2953
"251","FL","HILLSBOROUGH",NA,4931
"252","FL","MIAMI-DADE",NA,3067
"253","FL","ST. LUCIE",NA,306
"254","FM","CHUUK",NA,763
"255","FM","KOSRAE",NA,174
"256","FM","POHNPEI",NA,622
"257","FM","YAP",NA,1079
"258","GA","PUTNAM",NA,176
"259","GU","GUAM",NA,734
"260","HI","HONOLULU",NA,2218
"261","HI","KALAWAO",NA,16
"262","IL","DEKALB",NA,456
"263","IL","DUPAGE",NA,1390
"264","IL","LASALLE",NA,801
"265","IL","PIATT",NA,227
"266","IL","ST. CLAIR",NA,943
"267","IN","LAPORTE",NA,267
"268","IN","ST. JOSEPH",NA,359
"269","KS","POTTAWATOMIE",NA,252
"270","KY","BRECKINRIDGE",NA,224
"271","KY","BULLITT",NA,196
"272","KY","CARROLL",NA,135
"273","KY","WOLFE",NA,201
"274","LA","LASALLE",NA,298
"275","LA","ST. BERNARD",NA,262
"276","LA","ST. CHARLES",NA,264
"277","LA","ST. HELENA",NA,194
"278","LA","ST. JAMES",NA,322
"279","LA","ST. JOHN THE BAPTIST",NA,224
"280","LA","ST. LANDRY",NA,560
"281","LA","ST. MARTIN",NA,205
"282","LA","ST. MARY",NA,410
"283","LA","ST. TAMMANY",NA,858
"284","MD","PRINCE GEORGE'S",NA,2351
"285","MD","QUEEN ANNE'S",NA,669
"286","MD","ST. MARY'S",NA,1120
"287","MD",NA,NA,2
"288","ME","PISCATAQUIS",NA,716
"289","MH","AILINGINAE",NA,4
"290","MH","JALUIT",NA,2
"291","MH","KWAJALEIN",NA,6
"292","MH","NAMORIK",NA,3
"293","MH",NA,NA,166
"294","MI","ANTRIM",NA,262
"295","MI","MONTCALM",NA,425
"296","MI","ST. CLAIR",NA,678
"297","MI","ST. JOSEPH",NA,445
"298","MN","ST. LOUIS",NA,1445
"299","MO","STE. GENEVIEVE",NA,243
"300","MP","NORTHERN ISLANDS",NA,24
"301","MP","ROTA",NA,158
"302","MP","SAIPAN",NA,366
"303","MP","TINIAN",NA,103
"304","MT","LEWIS AND CLARK",NA,1070
"305","ND","LAMOURE",NA,168
"306","NE","KEYA PAHA",NA,111
"307","NH","HILLSBOROUGH",NA,1132
"308","NM","CIBOLA",NA,618
"309","NM","DE BACA",NA,277
"310","NM","DOÑA ANA",NA,704
"311","OK","LE FLORE",NA,443
"312","PR","ADJUNTAS",NA,81
"313","PR","AGUADA",NA,85
