"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"HILLIANS STORE",NA,"HILLIANS STORE","MARSHALL",NA,NA,"AL","1842",FALSE,"1906","4",26655,"Marshall","HILLIAN STORE","MARSHALL","AL","139400","Locale","Hillian Store (historical)","Marshall","34.4925874","-86.1202573","182","597",TRUE,0.928571428571429
"HILLTON",NA,"HILLTON","SHARP",NA,NA,"AR","1871",FALSE,"1882","7",26717,"Sharp","HILLTOP","SHARP","AR","50131","Locale","Hilltop","Sharp","35.9403509","-91.4962471","189","620",TRUE,0.857142857142857
"HINES CORNER","HINES'S CORNER","HINES('S) CORNER","WAYNE",NA,NA,"PA","1873",TRUE,"1896","5",26772,"Wayne","HINES CORNERS","WAYNE","PA","1177135","Locale","Hines Corners","Wayne","41.8228616","-75.4482362","619","2031",TRUE,0.916666666666667
"HOODS MILLS","HOOD'S MILLS","HOOD(')S MILLS","JACKSON",NA,NA,"LA","1874",TRUE,"1909","4",27300,"Jackson","HOODS MILL","JACKSON","LA","541296","Locale","Hoods Mill","Jackson","32.2390435","-92.3973656","77","253",TRUE,0.909090909090909
"HUTTON'S STATION","HUTTON'S","HUTTON'S STATION","DICKSON",NA,NA,"TN","1865",TRUE,"1866","9",28176,"Dickson","HUTTONS STATION","DICKSON","TN","1324114","Locale","Huttons Station (historical)","Dickson","36.0992262","-87.1950072","231","758",TRUE,0.9375
"IRON WOOD BLUFF",NA,"IRON WOOD BLUFF","ITAWAMBA",NA,NA,"MS","1851",TRUE,"1857","8",28673,"Itawamba","IRONWOOD BLUFF","ITAWAMBA","MS","685194","Locale","Ironwood Bluff (historical)","Itawamba","34.1098287","-88.3667099","106","348",TRUE,0.933333333333333
"JERICO",NA,"JERICO","ITAWAMBA",NA,NA,"MS","1886",TRUE,"1903","5",29320,"Itawamba","JERICHO","ITAWAMBA","MS","706241","Locale","Jericho (historical)","Itawamba","34.4189897","-88.4278256","92","302",TRUE,0.833333333333333
"JINHILL",NA,"JINHILL","WALKER",NA,NA,"AL","1888",TRUE,"1892","7",29422,"Walker","JIMHILL","WALKER","AL","142377","Locale","Jimhill","Walker","33.6784419","-87.2461125","159","522",TRUE,0.857142857142857
"JOHNSON'S MILLS","JOHNSONS MILLS","JOHNSON'S MILLS","DALLAS",NA,NA,"AL","1824",TRUE,"1836","6",29505,"Dallas","JOHNSONS MILL","DALLAS","AL","144590","Locale","Johnsons Mill (historical)","Dallas","32.3468053","-87.4327768","71","233",TRUE,0.866666666666667
"JOLLY STREET",NA,"JOLLY STREET","NEWBERRY",NA,NA,"SC","1855",TRUE,"1867","8",29552,"Newberry","JOLLYSTREET","NEWBERRY","SC","1223627","Locale","Jollystreet","Newberry","34.2379204","-81.4876034","150","492",TRUE,0.916666666666667
"JONES HILL",NA,"JONES HILL","TUSCALOOSA",NA,NA,"AL","1853",TRUE,"1858","8",29582,"Tuscaloosa","CONES MILL","TUSCALOOSA","AL","151544","Locale","Cones Mill (historical)","Tuscaloosa","33.2103954","-87.347501","102","335",TRUE,0.8
"JONES' MILLS","JONES MILLS","JONES' MILLS","MERIWETHER",NA,NA,"GA","1849",FALSE,"1905","4",29591,"Meriwether","JONES MILL","MERIWETHER","GA","346877","Locale","Jones Mill (historical)","Meriwether","33.0784586","-84.6140938","214","702",TRUE,0.833333333333333
"KASTOR'S CORNERS","KASTORS CORNERS","KASTOR'S CORNERS","CRAWFORD",NA,NA,"PA","1891",TRUE,"1895","6",29895,"Crawford","KASTERS CORNERS","CRAWFORD","PA","1178247","Locale","Kasters Corners","Crawford","41.5394981","-80.0103364","353","1158",TRUE,0.875
"KIMMERS STAND",NA,"KIMMERS STAND","CUMBERLAND",NA,NA,"TN","1868",TRUE,"1871","8",30458,"Cumberland","KIMMER STAND","CUMBERLAND","TN","1302891","Locale","Kimmer Stand","Cumberland","35.9292358","-84.9310631","537","1762",TRUE,0.923076923076923
"KINNEY FOUR CORNERS","KINNEY'S FOUR CORNERS","KINNEY('S) FOUR CORNERS","OSWEGO",NA,NA,"NY","1826",FALSE,"1904","3",30601,"Oswego","KINNEYS FOUR CORNERS","OSWEGO","NY","978413","Locale","Kinneys Four Corners","Oswego","43.3636789","-76.571056","122","400",TRUE,0.947368421052632
"KISIMINITAS",NA,"KISIMINITAS","ARMSTRONG",NA,NA,"PA","1835",TRUE,"1885","4",30690,"Armstrong","KISKIMINITAS","ARMSTRONG","PA","1206968","Locale","Kiskiminitas","Armstrong","40.5417324","-79.5083762","269","883",TRUE,0.909090909090909
"KNIGHTS MILLS",NA,"KNIGHTS MILLS","JONES",NA,NA,"MS","1873",TRUE,"1877","7",30786,"Jones","KNIGHTS MILL","JONES","MS","691637","Locale","Knights Mill (historical)","Jones","31.7848819","-89.3258952","81","266",TRUE,0.923076923076923
"KNOWLTON'S LANDING","KNOWLTONS LANDING","KNOWLTON'S LANDING","DESHA",NA,NA,"AR","1868",TRUE,"1874","7",30832,"Desha","KNOWLTON LANDING","DESHA","AR","63789","Locale","Knowlton Landing","Desha","34.1020504","-90.9389968","45","148",TRUE,0.888888888888889
