"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"ACRON",NA,"ACRON","HALE",NA,NA,"AL","1871",TRUE,"1883","5",161,"Hale","AKRON","HALE","AL","168628","Post Office","Akron Post Office","Hale","32.8775695","-87.7412638","40","131",TRUE,0.8
"ADAM'S STATION","ADAM'S","ADAM'S STATION","ROBERTSON",NA,NA,"TN","1860",TRUE,"1898","2",239,"Robertson","ADAMS STATION","ROBERTSON","TN","1650461","Post Office","Adams Station Post Office","Robertson","36.5826178","-87.0670431","175","574",TRUE,0.928571428571429
"ADAMSVILLE",NA,"ADAMSVILLE","BARTOW",NA,NA,"GA","1839",TRUE,"1842","8",256,"Bartow","ADAIRSVILLE","BARTOW","GA","1705277","Post Office","Adairsville Post Office","Bartow","34.3748255","-84.9302326","218","715",TRUE,0.8
"ADELL",NA,"ADELL","MERCER",NA,NA,"MO","1874",TRUE,"1904","5",302,"Mercer","ADEL","MERCER","MO","759956","Post Office","Adel Post Office","Mercer","40.5313948","-93.6691114","316","1037",TRUE,0.8
"AGUIILLA",NA,"AGUIILLA","WASHINGTON",NA,NA,"AL","1880",TRUE,"1922","3",394,"Washington","AQUILLA","WASHINGTON","AL","166082","Post Office","Aquilla Post Office (historical)","Washington","31.6937708","-88.4500233","108","354",TRUE,0.75
"ALANDAR",NA,"ALANDAR","BERKSHIRE",NA,NA,"MA","1889",TRUE,"1921","5",490,"Berkshire","ALANDER","BERKSHIRE","MA","618850","Post Office","Alander Post Office (historical)","Berkshire","42.0862021","-73.4620633","503","1650",TRUE,0.857142857142857
"ALAPATTAH",NA,"ALAPATTAH","MIAMI-DADE",NA,NA,"FL","1898",TRUE,"1906","4",496,"Dade","ALLAPATTAH","MIAMI-DADE","FL","2449765","Post Office","Allapattah Post Office","Miami-Dade","25.8023613","-80.2253693","2","7",TRUE,0.888888888888889
"ALEXANDER CITYT",NA,"ALEXANDER CITYT","TALLAPOOSA",NA,NA,"AL","1873",TRUE,NA,"0",624,"Tallapoosa","ALEXANDER CITY","TALLAPOOSA","AL","2789060","Post Office","Alexander City Post Office","Tallapoosa","32.942266","-85.9565078","213","699",TRUE,0.933333333333333
"ALTENBERG",NA,"ALTENBERG","PERRY",NA,NA,"MO","1854",TRUE,NA,"0",977,"Perry","ALTENBURG","PERRY","MO","2782693","Post Office","Altenburg Post Office","Perry","37.629374","-89.5891521","174","571",TRUE,0.888888888888889
"ANNEMARIE",NA,"ANNEMARIE","WILCOX",NA,NA,"AL","1893",TRUE,"1990","1",1343,"Wilcox","ANNEMANIE","WILCOX","AL","167597","Post Office","Annemanie Post Office (historical)","Wilcox","32.053481","-87.5608339","24","79",TRUE,0.888888888888889
"ANNEVILLE",NA,"ANNEVILLE","BERKELEY",NA,NA,"SC","1880",TRUE,"1900","4",1347,"Berkeley","PINEVILLE","BERKELEY","SC","2489873","Post Office","Pineville Post Office","Berkeley","33.4306715","-80.024666","25","82",TRUE,0.777777777777778
"AQUASHICCLA",NA,"AQUASHICCLA","CARBON",NA,NA,"PA","1862",TRUE,NA,"0",1507,"Carbon","AQUASHICOLA","CARBON","PA","2773066","Post Office","Aquashicola Post Office","Carbon","40.8112467","-75.5907182","126","413",TRUE,0.909090909090909
"ASTABULA",NA,"ASTABULA","LAKE",NA,NA,"FL","1882",TRUE,"1894","3",2053,"Lake","ASTATULA","LAKE","FL","2492682","Post Office","Astatula Post Office","Lake","28.7205232","-81.733356","25","82",TRUE,0.875
"AVENTINA",NA,"AVENTINA","MIAMI-DADE",NA,NA,"FL","1916",TRUE,"1924","3",2375,"Dade","AVENTURA","MIAMI-DADE","FL","2078825","Post Office","Aventura Post Office","Miami-Dade","25.9691763","-80.1297659","2","7",TRUE,0.75
"BARNAGAT",NA,"BARNAGAT","OCEAN",NA,NA,"NJ","1826",FALSE,"1850","4",3017,"Ocean","BARNEGAT","OCEAN","NJ","2802102","Post Office","Barnegat Post Office","Ocean","39.7568012","-74.235991","27","89",TRUE,0.875
"BARRYVILLE",NA,"BARRYVILLE","DECATUR",NA,NA,"TN","1892",TRUE,"1895","6",3165,"Decatur","PERRYVILLE","DECATUR","TN","1650590","Post Office","Perryville Post Office (historical)","Decatur","35.6214582","-88.0405877","121","397",TRUE,0.8
"BAY PORT",NA,"BAY PORT","SUFFOLK",NA,NA,"NY","1870",FALSE,NA,"0",3425,"Suffolk","BAYPORT","SUFFOLK","NY","2075836","Post Office","Bayport Post Office (historical)","Suffolk","40.7383333","-73.0505556","4","13",TRUE,0.875
"BAY SHORE",NA,"BAY SHORE","LEE",NA,NA,"FL","1925",TRUE,"1942","2",3429,"Lee","BAYSHORE","LEE","FL","2026945","Post Office","Bayshore Post Office (historical)","Lee","26.7153469","-81.8234178","3","10",TRUE,0.888888888888889
"BEAN'S STATION","BEAN'S","BEAN'S STATION","GRAINGER",NA,NA,"TN","1807",FALSE,"1901","4",3583,"Grainger","BEANS STATION","GRAINGER","TN","1650522","Post Office","Beans Station","Grainger","36.3450654","-83.2934547","339","1112",TRUE,0.928571428571429
"BEARLAKE",NA,"BEARLAKE","WARREN",NA,NA,"PA","1895",TRUE,"1905","5",3631,"Warren","BEAR LAKE","WARREN","PA","2779944","Post Office","Bear Lake Post Office","Warren","41.9931287","-79.5026304","472","1549",TRUE,0.875
"BELL TOWN",NA,"BELL TOWN","MONROE",NA,NA,"TN","1852",TRUE,"1949","1",3998,"Monroe","BELLTOWN","MONROE","TN","1648556","Post Office","Belltown Post Office","Monroe","35.4292446","-84.250751","265","869",TRUE,0.888888888888889
"BELLEMONTE",NA,"BELLEMONTE","LANCASTER",NA,NA,"PA","1849",TRUE,"1908","3",4061,"Lancaster","BELLEMONT","LANCASTER","PA","1214402","Post Office","Bellemont Post Office (historical)","Lancaster","39.9948235","-76.101343","118","387",TRUE,0.9
"BELLEVILLE",NA,"BELLEVILLE","MONTGOMERY",NA,NA,"MO","1875",TRUE,"1910","4",4076,"Montgomery","WELLSVILLE","MONTGOMERY","MO","2782799","Post Office","Wellsville Post Office","Montgomery","39.0708719","-91.5681204","250","820",TRUE,0.8
"BELLVIEW",NA,"BELLVIEW","MARION",NA,NA,"FL","1883",TRUE,"1884","4",4123,"Marion","BELLEVIEW","MARION","FL","2053760","Post Office","Belleview Post Office","Marion","29.0617416","-82.0688208","35","115",TRUE,0.875
"BELLVILLE",NA,"BELLVILLE","MIFFLIN",NA,NA,"PA","1800",TRUE,NA,"0",4133,"Mifflin","BELLEVILLE","MIFFLIN","PA","2772592","Post Office","Belleville Post Office","Mifflin","40.6079331","-77.716593","261","856",TRUE,0.888888888888889
"BELLVUE",NA,"BELLVUE","DAVIDSON",NA,NA,"TN","1964",TRUE,"1976","1",4135,"Davidson","BELLEVUE","DAVIDSON","TN","1652324","Post Office","Bellevue Post Office","Davidson","36.0766877","-86.9484813","173","568",TRUE,0.857142857142857
"BIG CHUM",NA,"BIG CHUM","LAUDERDALE",NA,NA,"AL","1880",TRUE,"1881","8",4789,"Lauderdale","BIRCHUM","LAUDERDALE","AL","166175","Post Office","Birchum Post Office (historical)","Lauderdale","34.9511965","-87.871142","219","718",TRUE,0.75
"BISMARK",NA,"BISMARK","ST. FRANCOIS",NA,NA,"MO","1868",TRUE,NA,"0",5066,"St. Francois","BISMARCK","ST. FRANCOIS","MO","2782882","Post Office","Bismarck Post Office","St. Francois","37.7679183","-90.6247267","315","1033",TRUE,0.857142857142857
"BISMARK",NA,"BISMARK","SHELBY",NA,NA,"AL","1892",TRUE,"1899","4",5067,"Shelby","BISMARCK","SHELBY","AL","168794","Post Office","Bismarck Post Office","Shelby","33.0745748","-86.8847071","120","394",TRUE,0.857142857142857
"BLAINVEVILLE",NA,"BLAINVEVILLE","GRAINGER",NA,NA,"TN","1917",TRUE,"1923","3",5286,"Grainger","BLAINVILLE","GRAINGER","TN","1651592","Post Office","Blainville Post Office","Grainger","36.1558274","-83.7026304","291","955",TRUE,0.833333333333333
"BLUE  EYE",NA,"BLUE  EYE","STONE",NA,NA,"MO","1870",FALSE,NA,"0",5571,"Stone","BLUE EYE","STONE","MO","2782817","Post Office","Blue Eye Post Office","Stone","36.4989177","-93.3971641","393","1289",TRUE,0.888888888888889
"BOARTUSH",NA,"BOARTUSH","WINSTON",NA,NA,"AL","1885",TRUE,"1886","8",5714,"Winston","BOARTUSK","WINSTON","AL","167157","Post Office","Boartusk Post Office (historical)","Winston","34.1917665","-87.6222458","269","883",TRUE,0.875
"BOCARATONE",NA,"BOCARATONE","PALM BEACH",NA,NA,"FL","1899",TRUE,"1923","1",5740,"Palm Beach","BOCA RATON","PALM BEACH","FL","2447813","Post Office","Boca Raton Post Office","Palm Beach","26.3777084","-80.1202273","4","13",TRUE,0.8
"BOGUE CHITO",NA,"BOGUE CHITO (1)","LINCOLN",NA,NA,"MS","1822",TRUE,"1835","7",5792,"Lincoln","BOGUE CHITTO","LINCOLN","MS","2768711","Post Office","Bogue Chitto Post Office","Lincoln","31.4395962","-90.4548206","130","427",TRUE,0.909090909090909
"BOGUE CHITO",NA,"BOGUE CHITO (2)","LINCOLN",NA,NA,"MS","1870",TRUE,NA,"0",5793,"Lincoln","BOGUE CHITTO","LINCOLN","MS","2768711","Post Office","Bogue Chitto Post Office","Lincoln","31.4395962","-90.4548206","130","427",TRUE,0.909090909090909
"BONDVILLE",NA,"BONDVILLE","HAYWOOD",NA,NA,"TN","1899",TRUE,"1900","6",5920,"Haywood","WOODVILLE","HAYWOOD","TN","1651146","Post Office","Woodville Post Office (historical)","Haywood","35.7667432","-89.436462","141","463",TRUE,0.777777777777778
"BOOMOSEEN",NA,"BOOMOSEEN","RUTLAND",NA,NA,"VT","1890",TRUE,NA,"0",5996,"Rutland","BOMOSEEN","RUTLAND","VT","1921755","Post Office","Bomoseen Post Office","Rutland","43.6083662","-73.2097296","138","453",TRUE,0.888888888888889
"BRIDESBURGH",NA,"BRIDESBURGH","PHILADELPHIA",NA,NA,"PA","1841",TRUE,"1863","6",6787,"Philadelphia","BRIDESBURG","PHILADELPHIA","PA","2347161","Post Office","Bridesburg Post Office","Philadelphia","39.9978309","-75.0742723","6","20",TRUE,0.909090909090909
"BRISTON",NA,"BRISTON (2)","LINCOLN",NA,NA,"ME","1843",TRUE,NA,"0",6976,"Lincoln","BRISTOL","LINCOLN","ME","1909733","Post Office","Bristol Post Office","Lincoln","43.9586397","-69.5097502","22","72",TRUE,0.857142857142857
"BROWNWOOD",NA,"BROWNWOOD","TUSCALOOSA",NA,NA,"AL","1926",TRUE,"1966","1",7349,"Tuscaloosa","BROOKWOOD","TUSCALOOSA","AL","2789051","Post Office","Brookwood Post Office","Tuscaloosa","33.2553167","-87.3334313","178","584",TRUE,0.777777777777778
"BRYAND POND",NA,"BRYAND POND","OXFORD",NA,NA,"ME","1852",TRUE,NA,"0",7464,"Oxford","BRYANT POND","OXFORD","ME","1907944","Post Office","Bryant Pond Post Office","Oxford","44.3781149","-70.6461784","216","709",TRUE,0.909090909090909
"BUCHANNAN",NA,"BUCHANNAN (CH)","HARALSON",NA,NA,"GA","1857",TRUE,NA,"0",7517,"Haralson","BUCHANAN","HARALSON","GA","350692","Post Office","Buchanan Post Office","Haralson","33.8018626","-85.1877856","378","1240",TRUE,0.888888888888889
"BUCKATANNY",NA,"BUCKATANNY","WAYNE",NA,NA,"MS","1854",TRUE,"1854","8",7557,"Wayne","BUCKATUNNA","WAYNE","MS","2768833","Post Office","Buckatunna Post Office","Wayne","31.5407342","-88.5288827","46","151",TRUE,0.8
"BUSTLETOWN",NA,"BUSTLETOWN","PHILADELPHIA",NA,NA,"PA","1803",TRUE,"1808","9",8064,"Philadelphia","BUSTLETON","PHILADELPHIA","PA","2347344","Post Office","Bustleton Post Office","Philadelphia","40.0995402","-75.0294554","48","157",TRUE,0.9
"BUTTON",NA,"BUTTON","BEAUFORT",NA,NA,"SC","1896",TRUE,"1899","7",8113,"Beaufort","BURTON","BEAUFORT","SC","2489776","Post Office","Burton Post Office","Beaufort","32.4388667","-80.7035869","4","13",TRUE,0.833333333333333
"CAMACK","CAMAC CARMACK","CAMACK (CAMAC) (CARMACK)","WARREN",NA,NA,"GA","1840",TRUE,NA,"0",8463,"Warren","CAMAK","WARREN","GA","2792410","Post Office","Camak Post Office","Warren","33.4520046","-82.6468083","179","587",TRUE,0.833333333333333
"CATAWISSEE",NA,"CATAWISSEE","COLUMBIA",NA,NA,"PA","1800",TRUE,"1823","5",9392,"Columbia","CATAWISSA","COLUMBIA","PA","2772627","Post Office","Catawissa Post Office","Columbia","40.9530977","-76.4616677","156","512",TRUE,0.8
"CENTERGROVE",NA,"CENTERGROVE","WEBSTER",NA,NA,"MS","1894",TRUE,"1895","4",9763,"Webster","CENTER GROVE","WEBSTER","MS","712907","Post Office","Center Grove Post Office","Webster","33.7315187","-89.0551756","103","338",TRUE,0.909090909090909
"CHARLSTOWN",NA,"CHARLSTOWN","WASHINGTON",NA,NA,"RI","1801",TRUE,NA,"0",10178,"Washington","CHARLESTOWN","WASHINGTON","RI","1902071","Post Office","Charlestown Post Office","Washington","41.3873745","-71.6236183","15","49",TRUE,0.9
"CHEEKTAWAGA",NA,"CHEEKTAWAGA","ERIE",NA,NA,"NY","1841",TRUE,"1842","8",10307,"Erie","CHEEKTOWAGA","ERIE","NY","2713455","Post Office","Cheektowaga Post Office","Erie","42.9154464","-78.7573211","198","650",TRUE,0.909090909090909
"CHESNUT HILL",NA,"CHESNUT HILL","PHILADELPHIA",NA,NA,"PA","1825",FALSE,"1863","4",10460,"Philadelphia","CHESTNUT HILL","PHILADELPHIA","PA","2347514","Post Office","Chestnut Hill Post Office","Philadelphia","40.0739436","-75.203024","118","387",TRUE,0.916666666666667
"CHESS SPRINGS",NA,"CHESS SPRINGS","CAMBRIA",NA,NA,"PA","1839",TRUE,"1873","4",10465,"Cambria","CHEST SPRINGS","CAMBRIA","PA","2772632","Post Office","Chest Springs Post Office","Cambria","40.5803752","-78.6081514","603","1978",TRUE,0.923076923076923
"CLAREMONT",NA,"CLAREMONT","NODAWAY",NA,NA,"MO","1871",TRUE,"1881","4",10961,"Nodaway","CLEARMONT","NODAWAY","MO","2782794","Post Office","Clearmont Post Office","Nodaway","40.5095296","-95.0323638","298","978",TRUE,0.777777777777778
"CLEAVELAND",NA,"CLEAVELAND","OSWEGO",NA,NA,"NY","1829",TRUE,"1875","1",11228,"Oswego","CLEVELAND","OSWEGO","NY","2713520","Post Office","Cleveland Post Office","Oswego","43.2325693","-75.8835639","121","397",TRUE,0.9
"CLIMAX   SPRINGS",NA,"CLIMAX   SPRINGS","CAMDEN",NA,NA,"MO","1886",TRUE,NA,"0",11363,"Camden","CLIMAX SPRINGS","CAMDEN","MO","2783205","Post Office","Climax Springs Post Office","Camden","38.0970502","-93.0526044","324","1063",TRUE,0.875
"CLOBBY",NA,"CLOBBY","BOONE",NA,NA,"AR","1905",TRUE,"1905","7",11440,"Boone","CLABBY","BOONE","AR","84450","Post Office","Clabby Post Office","Boone","36.31237","-93.0126306","387","1270",TRUE,0.833333333333333
"COBB TOWN",NA,"COBB TOWN","TATTNALL",NA,NA,"GA","1867",FALSE,NA,"0",11609,"Tattnall","COBBTOWN","TATTNALL","GA","2792361","Post Office","Cobbtown Post Office","Tattnall","32.2806228","-82.1379785","75","246",TRUE,0.888888888888889
"COCHESSET",NA,"COCHESSET","PLYMOUTH",NA,NA,"MA","1850",TRUE,"1966","2",11642,"Plymouth","COCHESETT","PLYMOUTH","MA","618780","Post Office","Cochesett Post Office (historical)","Plymouth","42.0153782","-71.0378225","28","92",TRUE,0.777777777777778
"COLD SPRING",NA,"COLD SPRING","FAIRFIELD",NA,NA,"CT","1843",TRUE,"1883","4",11787,"Fairfield","COLD SPRINGS","FAIRFIELD","CT","1941743","Post Office","Cold Springs Post Office","Fairfield","41.3624679","-73.266112","134","440",TRUE,0.909090909090909
"COLE GELEE",NA,"COLE GELEE","LAFAYETTE",NA,NA,"LA","1856",FALSE,"1881","5",11832,"Lafayette","COTE GELEE","LAFAYETTE","LA","1632128","Post Office","Cote Gelee Post Office","Lafayette","30.1482572","-91.9642863","10","33",TRUE,0.9
"COLEBROOK MEETINGHOUSE",NA,"COLEBROOK MEETINGHOUSE","LITCHFIELD",NA,NA,"CT","1820",TRUE,"1827","7",11842,"Litchfield","COLEBROOK MEETING HOUSE","LITCHFIELD","CT","1931893","Post Office","Colebrook Meeting House Post Office","Litchfield","41.9897185","-73.0957398","359","1178",TRUE,0.954545454545455
"COMSTOCKS FERRY",NA,"COMSTOCKS FERRY","NEW LONDON",NA,NA,"CT","1828",TRUE,"1828","9",12163,"New London","COMSTOCK'S FERRY","NEW LONDON","CT","1930979","Post Office","Comstock's Ferry Post Office","New London","41.4224346","-72.399901","28","92",TRUE,0.933333333333333
"CONCHETTA",NA,"CONCHETTA","NEWTON",NA,NA,"MS","1854",FALSE,NA,"0",12176,"Newton","CONEHATTA","NEWTON","MS","2768753","Post Office","Conehatta Post Office","Newton","32.4507708","-89.2838259","157","515",TRUE,0.777777777777778
"CONNEATTSVILLE",NA,"CONNEATTSVILLE","CRAWFORD",NA,NA,"PA","1822",TRUE,"1827","6",12287,"Crawford","CONNEAUTVILLE","CRAWFORD","PA","2772646","Post Office","Conneautville Post Office","Crawford","41.7591051","-80.3697474","288","945",TRUE,0.857142857142857
"CONONBURG",NA,"CONONBURG","GRANT",NA,NA,"LA","1880",TRUE,"1894","5",12317,"Grant","COTTONBURG","GRANT","LA","1630317","Post Office","Cottonburg Post Office","Grant","31.5790633","-92.5290311","66","217",TRUE,0.777777777777778
"CONTOCOOK",NA,"CONTOCOOK","MERRIMACK",NA,NA,"NH","1879",TRUE,NA,"0",12350,"Merrimack","CONTOOCOOK","MERRIMACK","NH","1917016","Post Office","Contoocook Post Office","Merrimack","43.2264049","-71.7160102","114","374",TRUE,0.888888888888889
"CONTOCOOK VILLAGE",NA,"CONTOCOOK VILLAGE","MERRIMACK",NA,NA,"NH","1844",TRUE,"1879","3",12351,"Merrimack","CONTOOCOOK VILLAGE","MERRIMACK","NH","1917016","Post Office","Contoocook Village Post Office","Merrimack","43.2264049","-71.7160102","114","374",TRUE,0.941176470588235
"CORUMS",NA,"CORUMS","WILSON",NA,NA,"TN","1890",TRUE,"1903","5",12784,"Wilson","CORUM","WILSON","TN","1652012","Post Office","Corum Post Office (historical)","Wilson","36.2847736","-86.4063817","160","525",TRUE,0.833333333333333
"COTTON TOWN",NA,"COTTON TOWN","SUMNER",NA,NA,"TN","1887",TRUE,NA,"0",12883,"Sumner","COTTONTOWN","SUMNER","TN","1651534","Post Office","Cottontown Post Office","Sumner","36.4542131","-86.544642","182","597",TRUE,0.909090909090909
"COVE CREEK",NA,"COVE CREEK","CALHOUN",NA,NA,"AL","1837",FALSE,"1873","7",12998,"Calhoun","CANE CREEK","CALHOUN","AL","169245","Post Office","Cane Creek Post Office (historical)","Calhoun","33.716767","-86.0063589","161","528",TRUE,0.8
"COWDERSPORT",NA,"COWDERSPORT","POTTER",NA,NA,"PA","1817",TRUE,"1864","4",13073,"Potter","COUDERSPORT","POTTER","PA","2772650","Post Office","Coudersport Post Office","Potter","41.7757281","-78.0212196","504","1654",TRUE,0.909090909090909
"CRAB TREE",NA,"CRAB TREE","WESTMORELAND",NA,NA,"PA","1858",TRUE,NA,"0",13145,"Westmoreland","CRABTREE","WESTMORELAND","PA","2779832","Post Office","Crabtree Post Office","Westmoreland","40.3623511","-79.4711159","303","994",TRUE,0.888888888888889
"CRANK",NA,"CRANK","STONE",NA,NA,"MO","1890",TRUE,"1891","5",13241,"Stone","CRANE","STONE","MO","2782824","Post Office","Crane Post Office","Stone","36.9047098","-93.5732962","346","1135",TRUE,0.8
"CRANSTON",NA,"CRANSTON","ALLEGHENY",NA,NA,"PA","1891",TRUE,"1892","7",13243,"Allegheny","CRAFTON","ALLEGHENY","PA","2431868","Post Office","Crafton Post Office","Allegheny","40.4388653","-80.0705533","246","807",TRUE,0.75
"CROSSWELL",NA,"CROSSWELL","ST. CLAIR",NA,NA,"AL","1837",TRUE,"1840","9",13602,"Saint Clair","CROPWELL","ST. CLAIR","AL","2789078","Post Office","Cropwell Post Office","St. Clair","33.5550917","-86.2689593","147","482",TRUE,0.777777777777778
"CROYDEN",NA,"CROYDEN","BUCKS",NA,NA,"PA","1927",TRUE,"1962","1",13663,"Bucks","CROYDON","BUCKS","PA","1214568","Post Office","Croydon Post Office (historical)","Bucks","40.0873329","-74.9034996","8","26",TRUE,0.857142857142857
"CURWINSVILLE",NA,"CURWINSVILLE","CLEARFIELD",NA,NA,"PA","1821",TRUE,"1883","2",13910,"Clearfield","CURWENSVILLE","CLEARFIELD","PA","2773109","Post Office","Curwensville Post Office","Clearfield","40.9762912","-78.5272951","365","1197",TRUE,0.916666666666667
"DANIELSONS FACTORY",NA,"DANIELSONS FACTORY","WINDHAM",NA,NA,"CT","1826",TRUE,"1826","8",14222,"Windham","DANIELSON'S FACTORY","WINDHAM","CT","1924342","Post Office","Danielson's Factory Post Office","Windham","41.8032518","-71.8854297","65","213",TRUE,0.944444444444444
"DANVILLE",NA,"DANVILLE","LIVINGSTON",NA,NA,"NY","1807",TRUE,"1824","6",14266,"Livingston","DANSVILLE","LIVINGSTON","NY","2598813","Post Office","Dansville Post Office","Livingston","42.5597145","-77.6942412","219","718",TRUE,0.875
"DELAVAN",NA,"DELAVAN","CATTARAUGUS",NA,NA,"NY","1838",TRUE,"1854","5",14803,"Cattaraugus","DELEVAN","CATTARAUGUS","NY","2598448","Post Office","Delevan Post Office","Cattaraugus","42.4911376","-78.479558","438","1437",TRUE,0.857142857142857
"DELIA",NA,"DELIA","MADISON",NA,NA,"LA","1869",TRUE,NA,"0",14836,"Madison","DELTA","MADISON","LA","1631066","Post Office","Delta Post Office","Madison","32.3249837","-90.9259972","28","92",TRUE,0.8
"DERBYTOWN",NA,"DERBYTOWN","CHESTER",NA,NA,"PA","1893",TRUE,"1910","4",15082,"Chester","DERRYDOWN","CHESTER","PA","1197583","Post Office","Derrydown Post Office (historical)","Chester","39.905663","-75.8357776","112","367",TRUE,0.777777777777778
"DOWELTOWN",NA,"DOWELTOWN","DEKALB",NA,NA,"TN","1878",TRUE,NA,"0",15850,"Dekalb","DOWELLTOWN","DEKALB","TN","1651914","Post Office","Dowelltown Post Office","DeKalb","36.0133584","-85.9433552","177","581",TRUE,0.888888888888889
"DYER'S STATION","DYER'S","DYER'S STATION","GIBSON",NA,NA,"TN","1860",TRUE,"1882","4",16487,"Gibson","DYERS STATION","GIBSON","TN","1651848","Post Office","Dyers Station Post Office","Gibson","36.0672522","-88.9944687","109","358",TRUE,0.928571428571429
"EAGLES MERE CHATAUQUA",NA,"EAGLES MERE CHATAUQUA","SULLIVAN",NA,NA,"PA","1901",TRUE,"1903","4",16567,"Sullivan","EAGLES MERE CHAUTAUQUA","SULLIVAN","PA","2027111","Post Office","Eagles Mere Chautauqua Post Office (historical)","Sullivan","41.4109113","-76.5818943","628","2060",TRUE,0.952380952380952
"EAST  BERLIN",NA,"EAST  BERLIN","HARTFORD",NA,NA,"CT","1852",TRUE,NA,"0",16644,"Hartford","EAST BERLIN","HARTFORD","CT","1950182","Post Office","East Berlin Post Office","Hartford","41.6149775","-72.7174439","23","75",TRUE,0.916666666666667
"EAST  HANOVER",NA,"EAST  HANOVER","MORRIS",NA,NA,"NJ","1971",TRUE,NA,"0",16645,"Morris","EAST HANOVER","MORRIS","NJ","2802109","Post Office","East Hanover Post Office","Morris","40.8206912","-74.3669106","69","226",TRUE,0.923076923076923
"EAST CHESTER",NA,"EAST CHESTER","WESTCHESTER",NA,NA,"NY","1798",FALSE,"1892","3",16769,"Westchester","EASTCHESTER","WESTCHESTER","NY","2617904","Post Office","Eastchester Post Office","Westchester","40.9563557","-73.8148106","57","187",TRUE,0.916666666666667
"EAST ELLEJAY",NA,"EAST ELLEJAY","GILMER",NA,NA,"GA","1904",FALSE,NA,"0",16828,"Gilmer","EAST ELLIJAY","GILMER","GA","1705300","Post Office","East Ellijay Post Office","Gilmer","34.6745711","-84.4794624","415","1362",TRUE,0.916666666666667
"EAST MC KEESPORT",NA,"EAST MC KEESPORT","ALLEGHENY",NA,NA,"PA","1894",TRUE,NA,"0",17015,"Allegheny","EAST MCKEESPORT","ALLEGHENY","PA","2431876","Post Office","East McKeesport Post Office","Allegheny","40.3835484","-79.8091551","357","1171",TRUE,0.9375
"EAST MILLINOCHET",NA,"EAST MILLINOCHET","PENOBSCOT",NA,NA,"ME","1906",TRUE,NA,"0",17025,"Penobscot","EAST MILLINOCKET","PENOBSCOT","ME","1913481","Post Office","East Millinocket Post Office","Penobscot","45.6263607","-68.5779262","102","335",TRUE,0.9375
"EAST VARDERGRIFT",NA,"EAST VARDERGRIFT","WESTMORELAND",NA,NA,"PA","1902",TRUE,NA,"0",17262,"Westmoreland","EAST VANDERGRIFT","WESTMORELAND","PA","2775098","Post Office","East Vandergrift Post Office","Westmoreland","40.5993991","-79.5607435","244","801",TRUE,0.9375
"EAST YARMOUTH",NA,"EAST YARMOUTH","BARNSTABLE",NA,NA,"MA","1883",TRUE,"1889","6",17324,"Barnstable","EAST FALMOUTH","BARNSTABLE","MA","2783733","Post Office","East Falmouth Post Office","Barnstable","41.5779562","-70.5574795","11","36",TRUE,0.846153846153846
"EDGAR   SPRINGS",NA,"EDGAR   SPRINGS","PHELPS",NA,NA,"MO","1866",TRUE,NA,"0",17561,"Phelps","EDGAR SPRINGS","PHELPS","MO","2782963","Post Office","Edgar Springs Post Office","Phelps","37.7023847","-91.8668082","370","1214",TRUE,0.866666666666667
"EDSALLSVILLE",NA,"EDSALLSVILLE","BRADFORD",NA,NA,"PA","1827",TRUE,"1904","3",17681,"Bradford","EDSALLVILLE","BRADFORD","PA","1214387","Post Office","Edsallville Post Office (historical)","Bradford","41.9011853","-76.8919048","542","1778",TRUE,0.916666666666667
"ELLEJAY",NA,"ELLEJAY (CH)","GILMER",NA,NA,"GA","1834",TRUE,NA,"0",18058,"Gilmer","ELLIJAY","GILMER","GA","1705301","Post Office","Ellijay Post Office","Gilmer","34.6863224","-84.4813117","383","1257",TRUE,0.857142857142857
"ENTERPRIZE",NA,"ENTERPRIZE","VOLUSIA",NA,NA,"FL","1846",TRUE,"1924","2",18600,"Volusia","ENTERPRISE","VOLUSIA","FL","2448739","Post Office","Enterprise Post Office","Volusia","28.8696024","-81.2651648","7","23",TRUE,0.9
"EUFALA",NA,"EUFALA","BARBOUR",NA,NA,"AL","1844",FALSE,NA,"0",18928,"Barbour","EUFAULA","BARBOUR","AL","166763","Post Office","Eufaula Post Office","Barbour","31.8937127","-85.1376757","80","262",TRUE,0.833333333333333
"FALKVIILLE","FOLKVILLE","FALKVIILLE (FOLKVILLE)","MORGAN",NA,NA,"AL","1868",TRUE,NA,"0",19459,"Morgan","FALKVILLE","MORGAN","AL","2789067","Post Office","Falkville Post Office","Morgan","34.3723055","-86.9104282","183","600",TRUE,0.9
"FARRIORVILLE",NA,"FARRIORVILLE","PIKE",NA,NA,"AL","1850",FALSE,"1868","7",19672,"Pike","WARRIORVILLE","PIKE","AL","139850","Post Office","Warriorville Post Office (historical)","Pike","32.0234851","-85.9157858","159","522",TRUE,0.916666666666667
